stat_id,strikes_per_minute,strike_accuracy,strikes_absorbed_per_minute,strike_defense,takedown_average,takedown_accuracy,takedown_defense,submission_average,fighters_id
247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,247
248,4.37,0.41,3.77,0.42,0.0,0.0,0.42,0.0,248
249,2.69,0.33,3.15,0.58,1.62,0.62,0.86,0.4,249
250,3.78,0.36,3.9,0.57,1.49,0.41,0.91,0.5,250
251,4.03,0.33,8.46,0.34,0.0,0.0,0.0,0.0,251
252,4.7,0.53,2.9,0.54,1.44,0.43,0.53,0.1,252
253,5.35,0.48,4.59,0.44,0.13,0.22,0.5,0.3,253
254,1.85,0.48,2.49,0.66,1.73,0.28,0.42,2.2,254
255,4.11,0.44,4.65,0.56,0.45,0.5,0.72,0.1,255
256,5.11,0.53,4.64,0.6,2.46,0.37,0.82,0.7,256
257,4.1,0.52,5.05,0.57,2.24,0.31,0.92,0.9,257
258,5.72,0.5,3.48,0.52,0.0,0.0,0.1,0.0,258
259,4.43,0.36,3.87,0.59,0.63,0.42,0.63,0.4,259
260,0.57,0.34,3.02,0.39,1.08,0.16,0.4,0.0,260
261,2.86,0.29,8.93,0.51,5.36,0.1,0.1,5.4,261
262,2.32,0.38,1.55,0.67,0.0,0.0,0.6,0.0,262
263,3.2,0.5,2.11,0.57,1.26,0.55,0.55,1.4,263
264,4.21,0.47,6.53,0.39,0.0,0.0,0.33,0.0,264
265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,265
266,1.17,0.3,2.1,0.56,0.0,0.0,0.14,0.7,266
267,2.77,0.45,3.93,0.4,1.46,0.47,0.6,0.5,267
268,0.8,0.7,1.2,0.28,1.0,0.8,0.0,0.0,268
269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,269
270,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,270
271,4.18,0.61,4.32,0.42,1.39,0.22,0.66,0.0,271
272,5.98,0.47,5.58,0.52,0.21,0.25,0.67,0.1,272
273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,273
274,0.98,0.4,4.05,0.36,1.84,0.5,0.1,0.0,274
275,0.0,0.0,8.22,0.31,0.0,0.0,0.1,0.0,275
276,2.77,0.52,3.07,0.59,2.22,0.24,0.83,0.0,276
277,2.72,0.52,3.54,0.59,0.0,0.0,0.76,0.2,277
278,9.31,0.4,4.66,0.51,0.0,0.0,0.1,0.0,278
279,3.91,0.41,2.97,0.68,4.2,0.45,0.66,0.3,279
280,5.41,0.53,2.96,0.61,1.62,0.4,0.83,0.2,280
281,4.36,0.55,2.57,0.59,3.97,0.44,0.8,0.5,281
282,1.94,0.48,2.71,0.46,8.39,0.39,0.62,1.3,282
283,4.87,0.52,5.87,0.55,0.0,0.0,0.0,0.0,283
284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,284
285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,285
286,2.49,0.3,6.36,0.51,0.67,0.18,0.44,1.3,286
287,0.0,0.0,4.03,0.4,6.72,0.5,0.0,0.0,287
288,5.12,0.52,4.11,0.44,0.77,0.17,0.53,0.4,288
289,5.36,0.58,4.82,0.46,0.0,0.0,0.62,0.0,289
290,5.33,0.47,3.91,0.54,1.92,0.33,0.66,0.9,290
291,3.45,0.35,3.18,0.61,1.6,0.58,0.78,0.2,291
292,0.0,0.0,5.77,0.28,0.0,0.0,0.0,0.0,292
293,1.27,0.29,2.53,0.5,0.0,0.0,0.0,0.0,293
294,4.57,0.31,3.83,0.58,0.0,0.0,0.66,0.0,294
295,4.44,0.34,4.31,0.64,0.0,0.0,0.0,0.0,295
296,0.8,0.51,0.0,0.1,3.43,0.66,0.1,2.6,296
297,6.37,0.35,8.54,0.52,0.0,0.0,0.0,0.0,297
298,4.53,0.5,1.75,0.63,1.83,0.62,0.62,0.0,298
299,7.29,0.49,6.38,0.52,0.0,0.0,0.33,0.0,299
300,2.17,0.38,1.64,0.69,2.49,0.42,0.41,0.9,300
301,1.98,0.55,1.61,0.54,2.1,0.23,0.64,0.3,301
302,1.8,0.4,7.73,0.34,0.0,0.0,0.25,2.0,302
303,6.85,0.8,4.24,0.45,4.89,0.5,0.0,0.0,303
304,2.43,0.41,1.8,0.57,3.98,0.52,0.92,0.4,304
305,6.54,0.42,6.55,0.51,0.91,0.62,0.65,0.0,305
306,2.7,0.41,3.1,0.59,0.44,0.26,0.55,0.9,306
307,1.59,0.46,2.83,0.5,1.02,0.6,0.53,0.6,307
308,4.43,0.6,2.65,0.57,0.0,0.0,0.81,0.0,308
309,6.28,0.62,6.31,0.46,1.06,0.3,0.1,0.3,309
310,1.52,0.61,4.79,0.41,3.5,0.1,0.5,0.0,310
311,4.92,0.36,5.27,0.54,0.48,0.18,0.75,0.0,311
312,2.07,0.37,1.93,0.63,0.7,0.5,0.46,0.2,312
313,3.52,0.34,2.67,0.61,1.41,0.3,0.62,0.6,313
314,0.0,0.0,3.32,0.53,0.0,0.0,0.0,0.0,314
315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,315
316,0.0,0.0,2.4,0.57,0.0,0.0,0.1,0.0,316
317,5.26,0.41,4.49,0.63,0.22,0.5,0.55,0.9,317
318,1.39,0.39,1.35,0.64,2.02,0.1,0.36,2.0,318
319,2.9,0.4,5.8,0.43,1.5,0.1,0.1,0.0,319
320,3.13,0.58,3.27,0.58,0.0,0.0,0.0,1.0,320
321,4.53,0.54,4.53,0.65,6.0,0.6,0.0,0.0,321
322,3.68,0.51,2.7,0.56,1.5,0.33,0.61,0.0,322
323,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,323
